node_1,node_2
0,7061
0,5911
0,1320
0,1370
0,1103
0,2095
0,1034
0,2801
0,970
0,5983
0,4753
0,2561
0,593
0,9074
0,1058
0,9640
0,4498
0,2218
0,5034
0,5036
0,1243
0,5474
0,4273
0,6409
0,5784
0,1057
0,7280
0,1212
0,9910
0,1310
0,3879
1,4381
2,4683
2,4387
2,9045
2,689
2,1929
2,7804
2,1210
2,155
2,7663
2,1041
2,1942
2,3189
2,3785
2,1198
2,1350
2,914
2,5879
2,8741
2,1193
2,1088
2,1160
2,1144
2,1150
2,9779
2,8922
2,7265
2,1238
2,1329
2,9100
2,1099
2,6941
2,4488
2,9963
2,3549
2,1125
2,4527
2,5530
2,4847
2,3491
3,5241
3,1315
3,435
3,7066
3,5111
3,1309
3,5473
3,6221
3,1048
3,2208
3,8684
3,6761
3,1121
3,4920
3,1221
3,2730
3,1316
3,6447
3,7971
3,325
3,7801
3,3647
3,6565
3,1323
3,6535
3,3060
3,6518
3,9107
3,1259
3,6893
6911,2175
6911,5197
6911,9069
6911,9591
6911,1999
6911,1050
6911,3210
6911,4727
6911,6006
6911,4039
6911,1194
6911,8048
6911,1311
6911,1383
4,3911
5,7872
5,1354
5,1088
6,1553
6,3711
7,5744
8,1314
8,1230
8,2351
8,2964
8,1386
8,5807
8,8563
8,1132
8,1251
8,4818
8,1328
8,409
8,7731
8,3147
8,4081
8,8755
8,2014
8,4615
8,2423
8,134
8,247
8,3108
8,4981
8,1084
8,7155
8,1173
8,8984
8,1324
8,8828
8,9798
8,1196
8,1118
8,6641
9,1308
10,5531
11,7528
11,1479
11,5456
12,9914
12,7994
12,324
12,1210
12,3718
12,1208
12,1181
12,1014
12,1256
12,6961
12,2307
12,1542
12,6655
12,3890
12,8324
12,8325
12,8685
12,1300
12,1177
12,1768
12,2475
12,1295
12,4973
12,2520
12,8175
12,7263
12,2061
12,3042
12,1156
12,1012
12,1366
12,2112
12,5387
12,8028
12,1794
12,4481
13,1188
13,5328
13,1221
13,3139
13,7216
13,1158
13,4578
13,8045
13,1213
15,721
15,5165
15,1359
15,6077
15,8011
15,1144
16,4588
16,9567
16,1227
16,1130
16,3703
17,4673
17,2233
17,1432
17,1316
17,1298
17,7097
17,6086
19,7780
19,23
19,300
19,2827
19,3819
19,5401
21,6720
21,9239
21,3743
21,3212
21,2461
21,2041
22,1005
23,5474
23,1058
23,5393
23,1362
23,300
23,3879
24,8423
24,5911
24,970
24,5363
24,2257
24,2807
24,1210
24,1124
24,3654
24,7305
24,2051
24,1134
24,7280
24,1353
24,1212
24,1917
24,5999
25,1013
25,9920
25,7901
25,5789
26,1694
26,1139
26,4448
26,1257
27,1289
27,997
27,1282
27,3341
27,9010
27,1757
1149,5474
29,9479
29,176
29,4508
29,1029
29,4027
29,2262
29,2995
29,1226
